nama,jurusan,nama_instansi,divisi,tanggal_mulai,tanggal_akhir,status_magang,jenjang,ipk/nilai,mata_kuliah/pelajaran,skill_teknis,sertifikasi,pengalaman_magang,pengalaman_organisasi,proyek_dikerjakan
Padma Wulandari,Sistem Informasi,Politeknik Piksi Ganesha Bandung,TIK,1/20/2020,2/20/2020,Selesai,D3,"3,14","Manajemen Proyek, Analisis Sistem, Jaringan, Rekayasa Perangkat Lunak, Pemrograman","PHP, Java",-,Magang di Telkom,OSIS,Video Animasi
Salimah Handayani,Multimedia,SMAN 1 Ciparay,TIK,1/4/2020,3/20/2020,Selesai,SMA,95,"UI/UX, Fotografi, Desain Grafis, Animasi, Desain 3D","Python, SQL",Adobe Certified,-,BEM,-
Bakijan Pudjiastuti,Sistem Informasi,Institut Teknologi Nasional Bandung,TIK,1/18/2020,3/20/2020,Selesai,D3,"3,29","Analisis Sistem, Manajemen Proyek, Basis Data, Jaringan, Rekayasa Perangkat Lunak","AutoCAD, Excel",Adobe Certified,-,-,Video Animasi
Talia Samosir ,Teknik Mesin,SMKN 1 Katapang,TIK,1/25/2020,3/11/2020,Selesai,SMK,82,"Gambar Teknik Mesin, Dasar-dasar Mesin, Pemeliharaan Mesin, Teknik Pemesinan, Pneumatik, Sistem Kelistrikan Mesin","Adobe, UI/UX",-,Magang di Bank BJB,BEM,Website Kampus
Zulfa Prakasa,Teknik Informatika,Universitas Langlangbuana,TIK,1/18/2020,3/18/2020,Selesai,S1,"3,4","Kecerdasan Buatan, Pemrograman Web, Basis Data, Algoritma, Jaringan Komputer","Adobe, UI/UX",Cisco CCNA,Magang di Telkom,Himpunan Mahasiswa,Aplikasi Mobile
Cengkir Kurniawan,IPS,SMAN 1 Majalaya,TIK,1/20/2020,3/20/2020,Selesai,SMA,96,"Jaringan Komputer, PBO, Desain UI/UX, Sistem Operasi, Basis Data","Python, SQL",Cisco CCNA,Magang di Diskominfo,BEM,-
Upik Wasita,RPL,SMKN 1 Katapang,TIK,1/19/2020,3/12/2020,Selesai,SMK,89,"PPKn, Geografi, Sosiologi, Ekonomi, Bahasa Indonesia","AutoCAD, Excel",Cisco CCNA,Magang di Bank BJB,BEM,-
Karsana Suryono,Teknik Sipil,Universitas Langlangbuana,TIK,1/17/2020,2/20/2020,Selesai,S1,"2,79","Statika, Manajemen Konstruksi, Struktur Beton, Mekanika Tanah, Gambar Teknik","Adobe, UI/UX",Adobe Certified,Magang di Telkom,BEM,Video Animasi
Nurul Rahimah,Ilmu Komunikasi,Universitas Komputer Indonesia,TIK,1/10/2020,2/11/2020,Selesai,D3,"3,16","Jurnalistik, Sosiologi Komunikasi, Public Speaking, Fotografi, Manajemen Media","AutoCAD, Excel",Cisco CCNA,Magang di Telkom,OSIS,Penelitian Sosial
Eja Pratama,Teknik Informatika,Politeknik Piksi Ganesha Bandung,TIK,1/5/2020,2/5/2020,Selesai,S1,"3,33","Basis Data, Kecerdasan Buatan, Struktur Data, Algoritma, Pemrograman Web","PHP, Java",Adobe Certified,Magang di Telkom,-,Penelitian Sosial
Yulia Firmansyah,Sistem Informasi,Politeknik Piksi Ganesha Bandung,IKP,1/5/2020,3/20/2020,Selesai,D3,"3,2","Pemrograman, Manajemen Proyek, Analisis Sistem, Jaringan, Rekayasa Perangkat Lunak","Python, SQL",Adobe Certified,Magang di Diskominfo,Himpunan Mahasiswa,-
Tiara Hutagalung,IPA,SMAN 1 Ciparay,IKP,2/12/2020,3/20/2020,Selesai,SMA,95,"Biologi, Matematika, Bahasa Inggris, Fisika, Kimia","Adobe, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,BEM,Website Kampus
Humaira Wijaya,RPL,SMKN 2 Baleendah,IKP,2/5/2020,3/12/2020,Selesai,SMK,87,"Sistem Operasi, Desain UI/UX, Jaringan Komputer, Basis Data, Pemrograman","Python, SQL",-,Magang di Bank BJB,OSIS,Website Kampus
Hafshah Hastuti,RPL,SMKN 2 Baleendah,IKP,1/17/2020,3/13/2020,Selesai,SMK,83,"Pemrograman, Sistem Operasi, Basis Data, Desain UI/UX, PBO","AutoCAD, Excel",-,Magang di Telkom,Himpunan Mahasiswa,Penelitian Sosial
Karsana Adriansyah,RPL,SMKN 1 Katapang,IKP,1/7/2020,2/18/2020,Selesai,SMK,75,"Pemrograman, Sistem Operasi, Basis Data, Jaringan Komputer, Desain UI/UX","Python, SQL",Adobe Certified,Magang di Bank BJB,-,Video Animasi
Reza Laksita,PGSD,Universitas Pendidikan Indonesia,IKP,1/25/2020,3/14/2020,Selesai,S1,"3,52","Ilmu Pendidikan Dasar, Psikologi Pendidikan, Perkembangan Anak, Manajemen Kelas, Strategi Belajar Mengajar, Pendidikan Bahasa Indonesia di SD",Pengelolaan Kelas,-,Magang di SDN Cangkuang 02,-,Video Animasi
Irfan Nainggolan,PGSD,Universitas Pendidikan Indonesia,IKP,1/25/2020,3/14/2020,Selesai,S1,"3,52","Ilmu Pendidikan Dasar, Psikologi Pendidikan, Perkembangan Anak, Manajemen Kelas, Strategi Belajar Mengajar, Pendidikan Bahasa Indonesia di SD",Perancangan RPP & Modul Ajar,Microsoft Office,Magang di SDN Cangkuang 02,Himpunan Mahasiswa,Penelitian Sosial
Jelita Rajasa,Sistem Informasi,Universitas Komputer Indonesia,IKP,1/12/2020,3/22/2020,Selesai,D3,"3,05","Basis Data, Pemrograman, Analisis Sistem, Rekayasa Perangkat Lunak, Manajemen Proyek",,Microsoft Office Specialist,Magang di Diskominfo,Himpunan Mahasiswa,Website Kampus
Sutan Kasiran Kusumo,Teknik Informatika,Institut Teknologi Nasional Bandung,IKP,1/26/2020,3/26/2020,Selesai,D3,"3,68","Struktur Beton, Gambar Teknik, Hidrologi, Manajemen Konstruksi, Statika","PHP, Java",-,Magang di Diskominfo,OSIS,-
Putri Safitri,Pendidikan Matematika,Universitas Pendidikan Indonesia,IKP,1/14/2020,3/26/2020,Selesai,S1,"2,95","Manajemen Konstruksi, Gambar Teknik, Statika, Hidrologi, Mekanika Tanah","PHP, Java",-,-,-,-
Cut Siska Jailani,Teknik Sipil,Universitas Langlangbuana,PERSANDIAN,1/11/2020,3/14/2020,Selesai,S1,"3,49","Hidrologi, Statika, Manajemen Konstruksi, Mekanika Tanah, Gambar Teknik","PHP, Java",-,Magang di Telkom,-,-
Bambang Winarsih,Psikologi,Politeknik Piksi Ganesha Bandung,PERSANDIAN,2/12/2020,3/12/2020,Selesai,S1,"2,86","Teori Kepribadian, Psikologi Sosial, Konseling, Psikologi Pendidikan, Metodologi Psikologi","AutoCAD, Excel",Microsoft Office Specialist,Magang di Telkom,OSIS,Video Animasi
Hadi Tarihoran,Teknik Sipil,Universitas Komputer Indonesia,PERSANDIAN,1/20/2020,3/14/2020,Selesai,D3,"3,75","Gambar Teknik, Statika, Hidrologi, Manajemen Konstruksi, Struktur Beton","AutoCAD, Excel",Cisco CCNA,-,BEM,Penelitian Sosial
Tasnim Nuraini,Bahasa,SMAN 1 Majalaya,PERSANDIAN,1/12/2020,3/17/2020,Selesai,SMK,93,"Sistem Operasi, Pemrograman, PBO, Basis Data, Desain UI/UX","AutoCAD, Excel",Cisco CCNA,Magang di Telkom,Himpunan Mahasiswa,Website Kampus
Lega Firgantoro,Pendidikan Matematika,Universitas Pendidikan Indonesia,PERSANDIAN,1/20/2020,2/20/2020,Selesai,D3,"3,16","Kalkulus, Aljabar Linear, Geometri, Analisis Real, Statistik & Probabilitas, Matematika Diskrit","AutoCAD, Excel",Cisco CCNA,Magang di Bank BJB,-,Website Kampus
Ulva Permata,Teknik Informatika,Universitas Langlangbuana,PERSANDIAN,1/4/2020,3/20/2020,Selesai,D3,"3,8","Struktur Data, Algoritma, Kecerdasan Buatan, Jaringan Komputer, Basis Data","Excel, UI/UX",-,Magang di Telkom,BEM,Website Kampus
Saadat Yulianti,Teknik Informatika,Universitas Langlangbuana,PERSANDIAN,1/18/2020,3/20/2020,Selesai,D3,"3,18","Kecerdasan Buatan, Pemrograman Web, Struktur Data, Algoritma, Basis Data","PHP, Java",Cisco CCNA,Magang di Telkom,-,Video Animasi
Darmanto Pertiwi,Sistem Informasi,Universitas Komputer Indonesia,PERSANDIAN,1/25/2020,3/11/2020,Selesai,D3,"2,95","Manajemen Proyek, Analisis Sistem, Rekayasa Perangkat Lunak, Pemrograman, Jaringan","Adobe, UI/UX",-,Magang di Bank BJB,-,Penelitian Sosial
Vinsen Utami,Teknik Sipil,Universitas Komputer Indonesia,PERSANDIAN,1/18/2020,3/18/2020,Selesai,S1,"3,43","Struktur Beton, Hidrologi, Statika, Mekanika Tanah, Manajemen Konstruksi","Adobe, UI/UX",-,Magang di Diskominfo,BEM,Penelitian Sosial
Dariati Handayani,Teknik Informatika,Universitas Langlangbuana,PERSANDIAN,1/20/2020,3/20/2020,Selesai,S1,"3,29","Jaringan Komputer, Algoritma, Pemrograman Web, Struktur Data, Kecerdasan Buatan","Python, SQL",Cisco CCNA,Magang di Diskominfo,Himpunan Mahasiswa,Penelitian Sosial
Balamantri Pangestu,IPA,SMAN 1 Katapang,APTIKA,1/19/2020,3/12/2020,Selesai,SMA,89,"Fisika, Matematika, Biologi, Kimia, Bahasa Inggris","PHP, Java",-,Magang di Bank BJB,OSIS,Website Kampus
Gina Aryani,Sistem Informasi,Institut Teknologi Nasional Bandung,APTIKA,1/17/2020,2/20/2020,Selesai,S1,"3,63","Jaringan, Pemrograman, Analisis Sistem, Manajemen Proyek, Basis Data","Excel, UI/UX",Microsoft Office Specialist,Magang di Diskominfo,-,Video Animasi
Aswani Napitupulu,Teknik Sipil,Politeknik Piksi Ganesha Bandung,APTIKA,1/10/2020,2/11/2020,Selesai,S1,"3,19","Manajemen Konstruksi, Hidrologi, Gambar Teknik, Statika, Struktur Beton","Excel, UI/UX",Microsoft Office Specialist,-,-,Penelitian Sosial
Ghaliyati Hasanah,Teknik Informatika,Institut Teknologi Nasional Bandung,APTIKA,1/5/2020,2/5/2020,Selesai,D3,"3,82","Kecerdasan Buatan, Basis Data, Struktur Data, Pemrograman Web, Algoritma","Adobe, UI/UX",-,Magang di Diskominfo,-,Video Animasi
Muni Mayasari,Ilmu Komunikasi,Universitas Bale Bandung,APTIKA,1/5/2020,3/20/2020,Selesai,D3,"3,31","Public Speaking, Komunikasi Massa, Fotografi, Manajemen Media, Jurnalistik","AutoCAD, Excel",Adobe Certified,Magang di Telkom,Himpunan Mahasiswa,Video Animasi
Wage Nababan,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,APTIKA,2/12/2020,3/20/2020,Selesai,D3,"3,15","Public Speaking, Sosiologi Komunikasi, Komunikasi Massa, Jurnalistik, Manajemen Media","Excel, UI/UX",Microsoft Office Specialist,Magang di Diskominfo,BEM,Video Animasi
Gabriella Haryanti,Teknik Sipil,Universitas Bale Bandung,APTIKA,2/5/2020,3/12/2020,Selesai,D3,"3,56","Mekanika Tanah, Struktur Beton, Hidrologi, Manajemen Konstruksi, Gambar Teknik","Python, SQL",Microsoft Office Specialist,Magang di Bank BJB,Himpunan Mahasiswa,-
Mursinin Sihombing,IPS,SMAN 1 Banjaran,APTIKA,1/17/2020,3/13/2020,Selesai,SMA,91,"Bahasa Indonesia, Geografi, Sejarah, PPKn, Ekonomi","AutoCAD, Excel",-,-,OSIS,Penelitian Sosial
Cawisadi Usamah,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,APTIKA,1/7/2020,2/18/2020,Selesai,S1,"3,2","Komunikasi Massa, Fotografi, Jurnalistik, Public Speaking, Manajemen Media","AutoCAD, Excel",Cisco CCNA,Magang di Telkom,OSIS,Video Animasi
Narji Yolanda,Ilmu Komunikasi,Politeknik Piksi Ganesha Bandung,APTIKA,1/25/2020,3/14/2020,Selesai,S1,"3,01","Komunikasi Massa, Public Speaking, Jurnalistik, Sosiologi Komunikasi, Fotografi","Adobe, UI/UX",Cisco CCNA,Magang di Diskominfo,OSIS,Penelitian Sosial
Uchita Kurniawan,Teknik Sipil,Universitas Bale Bandung,SEKRE,1/25/2020,3/14/2020,Selesai,S1,"3,73","Manajemen Konstruksi, Hidrologi, Struktur Beton, Statika, Gambar Teknik","PHP, Java",-,Magang di Bank BJB,-,Website Kampus
Wani Laksmiwati,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,SEKRE,1/12/2020,3/22/2020,Selesai,S1,"3,08","Komunikasi Massa, Jurnalistik, Public Speaking, Manajemen Media, Fotografi","Adobe, UI/UX",-,Magang di Bank BJB,Himpunan Mahasiswa,Penelitian Sosial
Bagiya Iswahyudi,Sistem Informasi,Universitas Langlangbuana,SEKRE,1/26/2020,3/26/2020,Selesai,D3,"3,75","Manajemen Proyek, Pemrograman, Jaringan, Analisis Sistem, Rekayasa Perangkat Lunak","PHP, Java",Adobe Certified,Magang di Telkom,Himpunan Mahasiswa,Video Animasi
Mustika Puspita,Ilmu Komunikasi,Universitas Langlangbuana,SEKRE,1/14/2020,3/26/2020,Selesai,D3,"2,86","Sosiologi Komunikasi, Fotografi, Jurnalistik, Komunikasi Massa, Public Speaking","Excel, UI/UX",-,-,BEM,Website Kampus
Indra Hariyah,Teknik Sipil,Universitas Bale Bandung,SEKRE,1/11/2020,3/14/2020,Selesai,S1,"3,33","Struktur Beton, Statika, Manajemen Konstruksi, Gambar Teknik, Hidrologi","PHP, Java",Adobe Certified,Magang di Bank BJB,BEM,-
Tiara Setiawan,RPL,SMKN 2 Baleendah,SEKRE,2/12/2020,3/12/2020,Selesai,SMK,94,"Jaringan Komputer, Basis Data, Pemrograman, PBO, Desain UI/UX","PHP, Java",Adobe Certified,Magang di Telkom,BEM,-
Jais Rahmawati,Teknik Informatika,Institut Teknologi Nasional Bandung,SEKRE,1/20/2020,3/14/2020,Selesai,S1,"3,61","Jaringan Komputer, Kecerdasan Buatan, Pemrograman Web, Algoritma, Struktur Data","Excel, UI/UX",Adobe Certified,Magang di Telkom,-,Aplikasi Mobile
Jaga Pertiwi,Ilmu Komunikasi,Universitas Komputer Indonesia,SEKRE,1/12/2020,3/17/2020,Selesai,S1,"3,26","Fotografi, Komunikasi Massa, Manajemen Media, Public Speaking, Jurnalistik","Python, SQL",-,Magang di Bank BJB,-,Website Kampus
Tasdik Laksita,Teknik Informatika,Universitas Langlangbuana,SEKRE,1/20/2020,2/20/2020,Selesai,S1,"3,6","Algoritma, Kecerdasan Buatan, Jaringan Komputer, Basis Data, Struktur Data","Adobe, UI/UX",-,Magang di Telkom,BEM,Penelitian Sosial
Vega Mustofa,Ilmu Komunikasi,Politeknik Piksi Ganesha Bandung,SEKRE,1/4/2020,3/20/2020,Selesai,S1,"3,65","Manajemen Media, Public Speaking, Jurnalistik, Komunikasi Massa, Sosiologi Komunikasi","Excel, UI/UX",Adobe Certified,Magang di Telkom,-,Penelitian Sosial
Rachel Marbun,Teknik Informatika,Universitas Komputer Indonesia,STATISTIK,1/18/2020,3/20/2020,Selesai,S1,"3,68","Algoritma, Jaringan Komputer, Pemrograman Web, Struktur Data, Kecerdasan Buatan","Excel, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,OSIS,Website Kampus
Maida Najmudin,Teknik Sipil,Universitas Komputer Indonesia,STATISTIK,1/25/2020,3/11/2020,Selesai,S1,"3,26","Mekanika Tanah, Gambar Teknik, Manajemen Konstruksi, Hidrologi, Statika","Adobe, UI/UX",-,-,OSIS,Video Animasi
Aris Anggraini,RPL,SMAN 1 Majalaya,STATISTIK,1/18/2020,3/18/2020,Selesai,SMK,86,"Sistem Operasi, Basis Data, Desain UI/UX, PBO, Jaringan Komputer","Adobe, UI/UX",Cisco CCNA,Magang di Bank BJB,Himpunan Mahasiswa,-
Tina Latupono,IPS,SMAN 1 Majalaya,STATISTIK,1/20/2020,3/20/2020,Selesai,SMA,82,"Geografi, PPKn, Ekonomi, Sosiologi, Sejarah","Adobe, UI/UX",-,Magang di Telkom,BEM,Penelitian Sosial
Bakidin Hassanah,IPS,SMKN 2 Baleendah,STATISTIK,1/19/2020,3/12/2020,Selesai,SMA,89,"Geografi, PPKn, Ekonomi, Sosiologi, Bahasa Indonesia","Python, SQL",-,Magang di Bank BJB,-,-
Laila Aryani,Ilmu Komunikasi,Universitas Bale Bandung,STATISTIK,1/17/2020,2/20/2020,Selesai,D3,"3,36","Komunikasi Massa, Fotografi, Manajemen Media, Public Speaking, Jurnalistik","AutoCAD, Excel",-,Magang di Telkom,-,Video Animasi
Fathonah Simanjuntak,Psikologi,Universitas Bale Bandung,STATISTIK,1/10/2020,2/11/2020,Selesai,D3,"3,03","Psikologi Sosial, Psikologi Pendidikan, Konseling, Teori Kepribadian, Psikologi Klinis","Excel, UI/UX",Cisco CCNA,Magang di Diskominfo,-,Aplikasi Mobile
Ghani Mardhiyah,Teknik Sipil,Universitas Bale Bandung,STATISTIK,1/5/2020,2/5/2020,Selesai,D3,"3,38","Mekanika Tanah, Struktur Beton, Statika, Manajemen Konstruksi, Hidrologi","AutoCAD, Excel",Cisco CCNA,Magang di Bank BJB,OSIS,Website Kampus
Dian Siregar,IPS,SMAN 1 Majalaya,STATISTIK,4/4/2020,5/20/2020,Selesai,SMA,82,"Sejarah, Ekonomi, Sosiologi, PPKn, Geografi","Adobe, UI/UX",-,Magang di Telkom,Himpunan Mahasiswa,Video Animasi
Wirda Lestari,Teknik Informatika,Universitas Langlangbuana,STATISTIK,4/4/2020,5/20/2020,Selesai,D3,"3,23","Jaringan Komputer, Pemrograman Web, Kecerdasan Buatan, Basis Data, Algoritma","Adobe, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,Himpunan Mahasiswa,Aplikasi Mobile
Hilda Sihotang,Teknik Sipil,Universitas Langlangbuana,TIK,4/5/2020,6/12/2020,Selesai,D3,"3,37","Statika, Gambar Teknik, Hidrologi, Manajemen Konstruksi, Struktur Beton","Adobe, UI/UX",-,Magang di Bank BJB,BEM,Video Animasi
Adiarja Nugroho,Teknik Sipil,Universitas Langlangbuana,TIK,4/17/2020,5/13/2020,Selesai,D3,3,"Mekanika Tanah, Gambar Teknik, Manajemen Konstruksi, Hidrologi, Struktur Beton","PHP, Java",-,Magang di Bank BJB,BEM,Website Kampus
Salsabila Nasyiah,Teknik Informatika,Institut Teknologi Nasional Bandung,TIK,4/7/2020,5/18/2020,Selesai,S1,"3,37","Struktur Data, Algoritma, Basis Data, Kecerdasan Buatan, Jaringan Komputer","Python, SQL",-,-,OSIS,Aplikasi Mobile
Jais Sihotang,Psikologi,Universitas Komputer Indonesia,TIK,4/25/2020,5/14/2020,Selesai,S1,"2,94","Psikologi Sosial, Teori Kepribadian, Psikologi Klinis, Metodologi Psikologi, Konseling","Adobe, UI/UX",Microsoft Office Specialist,Magang di Telkom,Himpunan Mahasiswa,Website Kampus
Darsirah Dongoran,Ilmu Komunikasi,Universitas Komputer Indonesia,TIK,4/25/2020,5/14/2020,Selesai,S1,"3,37","Public Speaking, Manajemen Media, Fotografi, Komunikasi Massa, Jurnalistik","Excel, UI/UX",-,Magang di Telkom,Himpunan Mahasiswa,-
Elisa Purwanti,Multimedia,SMAN 1 Majalaya,TIK,4/12/2020,5/22/2020,Selesai,SMK,84,"Editing Video, Desain 3D, Desain Grafis, UI/UX, Fotografi","PHP, Java",-,Magang di Diskominfo,OSIS,-
Erik Pangestu,Ilmu Komunikasi,Universitas Komputer Indonesia,TIK,4/26/2020,6/26/2020,Selesai,D3,"3,51","Public Speaking, Sosiologi Komunikasi, Manajemen Media, Fotografi, Komunikasi Massa","Adobe, UI/UX",Cisco CCNA,-,BEM,-
Gabriella Waluyo,Multimedia,SMAN 1 Ciparay,TIK,4/14/2020,6/26/2020,Selesai,SMK,95,"Fotografi, UI/UX, Editing Video, Desain 3D, Desain Grafis","Excel, UI/UX",-,Magang di Bank BJB,OSIS,Website Kampus
Maras Wibisono,Multimedia,SMAN 1 Majalaya,TIK,4/11/2020,6/14/2020,Selesai,SMK,81,"Animasi, Editing Video, Desain Grafis, Fotografi, UI/UX","AutoCAD, Excel",-,Magang di Bank BJB,BEM,Penelitian Sosial
Wani Zulaika,Teknik Informatika,Universitas Komputer Indonesia,TIK,4/12/2020,5/12/2020,Selesai,D3,"3,46","Jaringan Komputer, Kecerdasan Buatan, Struktur Data, Basis Data, Pemrograman Web","Python, SQL",-,-,Himpunan Mahasiswa,Aplikasi Mobile
Ami Putra,IPS,SMKN 2 Baleendah,IKP,4/20/2020,5/14/2020,Selesai,SMA,86,"Sejarah, Geografi, Sosiologi, Bahasa Indonesia, PPKn","PHP, Java",Microsoft Office Specialist,Magang di Telkom,-,Penelitian Sosial
